# Residuals    
# Time         	p              	Ux             	Uy             	Uz             	e              	k              	T              
0              	N/A	N/A	N/A	N/A	N/A
6.72268e-06    	N/A	8.7813384e-05	2.5439674e-04	8.9734369e-05	1.3372015e-04	4.3639742e-04	N/A
6.7594e-06     	N/A	8.7717608e-05	2.5229868e-04	8.9657225e-05	1.4111997e-04	4.3476850e-04	N/A
6.79613e-06    	N/A	8.7685853e-05	2.5038603e-04	8.9635109e-05	1.3396959e-04	4.3207747e-04	N/A
6.83285e-06    	N/A	8.7507377e-05	2.4836373e-04	8.9413411e-05	1.3122911e-04	4.2991583e-04	N/A
6.86957e-06    	N/A	8.7299403e-05	2.4639811e-04	8.9281225e-05	1.3612473e-04	4.2822197e-04	N/A
6.9063e-06     	N/A	8.7133411e-05	2.4446400e-04	8.9161351e-05	1.2997659e-04	4.2583945e-04	N/A
6.94302e-06    	N/A	8.7038959e-05	2.4249956e-04	8.9032602e-05	1.3284311e-04	4.2398595e-04	N/A
6.97975e-06    	N/A	8.6907813e-05	2.4055233e-04	8.8897631e-05	1.2712957e-04	4.2157713e-04	N/A
7.01647e-06    	N/A	8.6711630e-05	2.3861770e-04	8.8702477e-05	1.3298941e-04	4.1998893e-04	N/A
7.05319e-06    	N/A	8.6588596e-05	2.3685319e-04	8.8564036e-05	1.3421393e-04	4.1801485e-04	N/A
7.08992e-06    	N/A	8.6488746e-05	2.3533831e-04	8.8442089e-05	1.2947409e-04	4.1583617e-04	N/A
7.12664e-06    	N/A	8.6363204e-05	2.3363366e-04	8.8309341e-05	1.3290178e-04	4.1424070e-04	N/A
7.16337e-06    	N/A	8.6313261e-05	2.3201578e-04	8.8286253e-05	1.3374817e-04	4.1267549e-04	N/A
7.20009e-06    	N/A	8.6228585e-05	2.3035136e-04	8.8212225e-05	1.3306097e-04	4.1064256e-04	N/A
7.23682e-06    	N/A	8.6099855e-05	2.2875606e-04	8.8093763e-05	1.2785779e-04	4.0839013e-04	N/A
7.27354e-06    	N/A	8.5933760e-05	2.2712506e-04	8.7901290e-05	1.2266969e-04	4.0608810e-04	N/A
