# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
7.17075e-05    	(4.9882535e+01 -8.6264325e-02 -4.2591829e+01)	1.0733969e+05	2.9170527e+02	1.2790154e+00
7.21416e-05    	(4.9760688e+01 -8.4930709e-02 -4.2488003e+01)	1.0735616e+05	2.9171659e+02	1.2791621e+00
7.25757e-05    	(4.9587587e+01 -8.3268539e-02 -4.2340239e+01)	1.0737856e+05	2.9173252e+02	1.2793593e+00
7.30099e-05    	(4.9367896e+01 -8.1432305e-02 -4.2152131e+01)	1.0740627e+05	2.9175257e+02	1.2796017e+00
7.3444e-05     	(4.9114527e+01 -7.9661621e-02 -4.1934385e+01)	1.0743775e+05	2.9177555e+02	1.2798761e+00
7.38781e-05    	(4.8846581e+01 -7.8137141e-02 -4.1703280e+01)	1.0747074e+05	2.9179968e+02	1.2801634e+00
7.43122e-05    	(4.8587130e+01 -7.6922889e-02 -4.1478480e+01)	1.0750258e+05	2.9182291e+02	1.2804408e+00
7.47464e-05    	(4.8359749e+01 -7.6032678e-02 -4.1280241e+01)	1.0753057e+05	2.9184316e+02	1.2806854e+00
7.51805e-05    	(4.8187951e+01 -7.5434025e-02 -4.1128847e+01)	1.0755212e+05	2.9185839e+02	1.2808752e+00
7.56146e-05    	(4.8090910e+01 -7.5255562e-02 -4.1041369e+01)	1.0756512e+05	2.9186699e+02	1.2809923e+00
7.60487e-05    	(4.8074362e+01 -7.5321703e-02 -4.1023597e+01)	1.0756891e+05	2.9186845e+02	1.2810310e+00
7.64829e-05    	(4.8137176e+01 -7.5492371e-02 -4.1074789e+01)	1.0756361e+05	2.9186285e+02	1.2809923e+00
7.6917e-05     	(4.8273475e+01 -7.5902987e-02 -4.1189841e+01)	1.0754990e+05	2.9185074e+02	1.2808822e+00
7.73511e-05    	(4.8480491e+01 -7.6950409e-02 -4.1366522e+01)	1.0752809e+05	2.9183233e+02	1.2807030e+00
7.77852e-05    	(4.8755093e+01 -7.8445223e-02 -4.1601841e+01)	1.0749851e+05	2.9180790e+02	1.2804578e+00
7.82194e-05    	(4.9086877e+01 -8.0157139e-02 -4.1886640e+01)	1.0746229e+05	2.9177832e+02	1.2801560e+00
7.86535e-05    	(4.9453495e+01 -8.1867638e-02 -4.2201462e+01)	1.0742190e+05	2.9174549e+02	1.2798187e+00
7.90876e-05    	(4.9825834e+01 -8.3409998e-02 -4.2521166e+01)	1.0738059e+05	2.9171195e+02	1.2794736e+00
